trial_id,seed,controller,planner,contact,perception,offset_mm,spiral_radius_mm,noise_sigma_mm,success,failure_reason,insertion_time,peak_force,mean_force,jamming_count,retry_count,final_pose_error,compute_time,preinsert_pose_error,path_length,smoothness,max_joint_vel,max_joint_accel,solve_time,initial_contact_force,pose_estimation_error,effective_offset
540,0,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,1,,10.322,31.4971,14.4393,0,0,0.002731,2.2106,0.004958,0.30933,11.1635,1.195,320.8791,0.0,1.5021,0.002669,0.002669
541,1,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,1,,11.762,43.3854,9.4128,3,3,0.001559,4.0564,0.004398,0.313564,11.2618,1.1888,305.8235,0.0,1.5568,0.007503,0.007503
542,2,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,1,,13.25,40.9782,21.55,6,6,0.004637,4.3052,0.004821,0.316432,11.1495,1.1933,310.628,0.0,2.0328,0.005582,0.005582
543,3,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,0,force_abort_max_recovery,7.922,42.0655,20.0751,11,10,0.020204,0.9655,0.004736,0.319759,11.1383,1.2123,301.3221,0.0,2.1161,0.019365,0.019365
544,4,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,1,,13.096,47.9706,9.5721,6,6,0.003601,4.0004,0.004397,0.312353,11.2407,1.1943,301.5881,0.0,1.6252,0.009442,0.009442
545,5,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,0,force_abort_max_recovery,7.906,42.8303,22.0553,11,10,0.0139,1.0168,0.004432,0.319218,11.1247,1.1847,305.1683,0.0,1.6494,0.013519,0.013519
546,6,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,0,jam_max_recovery,13.846,43.0568,12.8851,11,10,0.008871,1.5631,0.00407,0.317458,11.4372,1.1891,300.591,0.0,1.5403,0.009289,0.009289
547,7,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,1,,10.286,29.0916,20.8721,0,0,0.0038,3.8374,0.004675,0.313572,11.1813,1.1928,308.8679,0.0,0.0,0.004272,0.004272
548,8,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,0,force_abort_max_recovery,8.018,46.514,22.0128,11,10,0.013895,1.0451,0.004787,0.318497,11.6455,1.302,317.7707,0.0,1.6588,0.011971,0.011971
549,9,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,1,,10.264,38.7919,23.5104,0,0,0.004731,4.1898,0.004325,0.303589,11.3788,1.1923,313.2032,0.0,2.1617,0.010219,0.010219
550,10,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,0,force_abort_max_recovery,14.354,41.5485,20.4644,11,10,0.00472,1.579,0.004685,0.312039,11.437,1.185,315.0654,0.0,1.5274,0.006112,0.006112
551,11,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,1,,10.346,35.7742,12.8895,0,0,0.004227,3.7445,0.004831,0.316228,11.0329,1.1939,320.4579,0.0,1.6114,0.00643,0.00643
552,12,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,0,force_abort_max_recovery,8.34,44.5557,21.1315,11,10,0.011159,1.0531,0.004764,0.313905,11.178,1.1893,302.9242,0.0,1.5378,0.01019,0.01019
553,13,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,0,force_abort_max_recovery,14.272,46.965,12.0724,11,10,0.009591,1.6198,0.004653,0.316479,11.2496,1.1923,315.6825,0.0,1.6191,0.008619,0.008619
554,14,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,0,force_abort_max_recovery,7.564,63.3211,23.5744,11,10,0.014929,0.9628,0.004203,0.323153,11.1818,1.1933,314.3669,0.0,1.5885,0.011444,0.011444
555,15,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,0,jam_max_recovery,7.676,65.802,21.5654,11,10,0.015889,0.9677,0.004889,0.31961,11.0673,1.188,300.5808,0.0,1.5462,0.014826,0.014826
556,16,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,0,force_abort_max_recovery,14.562,40.9122,20.3709,11,10,0.005778,1.537,0.004591,0.314731,11.15,1.1932,319.0743,0.0,1.6866,0.004882,0.004882
557,17,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,1,,15.268,41.4971,15.3364,10,10,0.003616,3.2291,0.004827,0.304117,11.532,1.1895,310.1526,0.0,1.6209,0.01141,0.01141
558,18,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,0,force_abort_max_recovery,8.638,41.8013,21.7878,11,10,0.017692,1.1699,0.004597,0.312711,11.1389,1.1894,301.8554,0.0,2.0106,0.01823,0.01823
559,19,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,1,,13.116,57.5657,10.6071,6,6,0.002299,2.7503,0.004604,0.310802,11.1969,1.1903,309.9674,0.0,1.9364,0.008605,0.008605
560,20,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,0,force_abort_max_recovery,8.422,40.8827,21.6709,11,10,0.010864,1.0167,0.004212,0.31488,11.2068,1.1859,310.1009,0.0,2.0057,0.009733,0.009733
561,21,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,0,force_abort_max_recovery,8.596,54.0726,21.2759,11,10,0.011661,1.07,0.004787,0.315269,11.0994,1.1937,301.587,0.0,2.2784,0.009956,0.009956
562,22,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,1,,10.244,29.2738,14.8885,0,0,0.003474,3.4758,0.004772,0.312304,11.3165,1.1942,308.4922,0.0,0.0,0.006114,0.006114
563,23,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,0,force_abort_max_recovery,8.056,59.5422,22.0534,11,10,0.010989,1.0192,0.004842,0.316529,11.1617,1.1884,305.2251,0.0,1.5611,0.009628,0.009628
564,24,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,1,,10.266,30.9068,18.3484,0,0,0.001522,2.1115,0.0048,0.309506,11.1716,1.1964,315.3177,0.0,0.0,0.003921,0.003921
565,25,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,0,force_abort_max_recovery,8.19,43.8081,21.6924,11,10,0.014605,1.0315,0.004669,0.315419,11.1475,1.1868,301.9264,0.0,1.9729,0.013819,0.013819
566,26,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,0,force_abort_max_recovery,8.676,42.0651,21.2754,11,10,0.010827,1.0865,0.004674,0.313835,11.1844,1.1896,305.0111,0.0,1.9037,0.009904,0.009904
567,27,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,0,force_abort_max_recovery,14.614,40.8477,20.4609,11,10,0.002538,1.557,0.00415,0.313082,11.4182,1.1895,329.2443,0.0,1.6311,0.005217,0.005217
568,28,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,1,,10.352,39.7597,21.3144,0,0,0.005658,3.7382,0.004085,0.317499,11.2527,1.1921,308.4652,0.0,1.7048,0.005913,0.005913
