trial_id,seed,controller,planner,contact,perception,offset_mm,spiral_radius_mm,success,failure_reason,insertion_time,peak_force,mean_force,jamming_count,retry_count,final_pose_error,compute_time,preinsert_pose_error,path_length,smoothness,max_joint_vel,max_joint_accel,solve_time,initial_contact_force
129,9,impedance,ee-ocp,none,gt,3.0,,1,,12.538,27.5991,15.801,0,0,0.002595,1.3393,0.004924,0.319468,3.9534,0.9534,271.9071,26.2352,0.0
130,10,impedance,ee-ocp,none,gt,3.0,,1,,12.58,31.0579,16.6301,0,0,0.002747,1.322,0.004858,0.319613,3.9654,1.1063,276.6692,26.6897,0.0
131,11,impedance,ee-ocp,none,gt,3.0,,1,,12.504,37.8897,17.9273,0,0,0.002769,1.392,0.004781,0.319699,3.902,1.1075,282.2038,26.018,0.0
132,12,impedance,ee-ocp,none,gt,3.0,,1,,12.522,26.8408,17.7162,0,0,0.0027,1.3905,0.00488,0.319443,4.0321,1.0163,288.0599,29.213,0.0
133,13,impedance,ee-ocp,none,gt,3.0,,1,,12.616,38.8449,21.2921,0,0,0.00247,1.3646,0.004758,0.31918,4.088,0.982,276.3752,26.2609,0.0
134,14,impedance,ee-ocp,none,gt,3.0,,1,,12.616,33.3633,21.256,0,0,0.003093,1.3703,0.004738,0.320134,4.0861,1.0205,273.9924,26.9494,0.0
135,15,impedance,ee-ocp,none,gt,3.0,,1,,12.556,32.5353,15.4882,0,0,0.002397,1.3459,0.004783,0.319096,4.1224,1.0991,269.7288,26.1975,0.0
136,16,impedance,ee-ocp,none,gt,3.0,,1,,12.598,43.0227,20.2996,0,0,0.002802,1.3843,0.004649,0.320041,4.0602,1.0111,296.2533,25.3195,0.0
137,17,impedance,ee-ocp,none,gt,3.0,,1,,12.556,26.9352,15.1984,0,0,0.003169,1.3791,0.004734,0.319568,4.0883,1.0147,293.8629,26.0518,0.0
138,18,impedance,ee-ocp,none,gt,3.0,,1,,12.546,28.1184,14.3766,0,0,0.002919,1.321,0.004923,0.318963,4.0755,0.9757,273.0216,25.5098,0.0
139,19,impedance,ee-ocp,none,gt,3.0,,1,,12.64,29.811,20.9235,0,0,0.002757,1.3003,0.004774,0.319837,4.0415,1.0088,290.8668,25.6754,0.0
140,20,impedance,ee-ocp,none,gt,3.0,,1,,12.622,35.5737,21.3893,0,0,0.002903,1.3704,0.004833,0.319975,4.166,1.0678,286.1189,26.1967,0.0
141,21,impedance,ee-ocp,none,gt,3.0,,1,,12.58,37.3048,16.1171,0,0,0.002654,1.3825,0.004856,0.319795,4.0504,1.0382,254.9292,26.4133,0.0
142,22,impedance,ee-ocp,none,gt,3.0,,1,,12.48,34.5479,17.8149,0,0,0.002629,1.394,0.004953,0.319059,3.9927,1.0218,279.655,26.2848,1.5123
143,23,impedance,ee-ocp,none,gt,3.0,,1,,12.54,27.9944,15.8026,0,0,0.00263,1.3479,0.004932,0.319922,3.9387,1.0072,269.186,25.8192,0.0
144,24,impedance,ee-ocp,none,gt,3.0,,1,,12.576,32.258,20.8683,0,0,0.002527,1.4045,0.004681,0.319191,4.0197,0.9808,289.4914,26.0713,0.0
145,25,impedance,ee-ocp,none,gt,3.0,,1,,12.632,34.6192,16.2724,0,0,0.003193,1.3582,0.004891,0.319907,4.1925,1.1046,261.4269,25.4465,0.0
146,26,impedance,ee-ocp,none,gt,3.0,,1,,12.586,27.7805,13.5806,0,0,0.002565,1.3348,0.004706,0.319673,3.9697,0.982,273.4583,25.4761,0.0
147,27,impedance,ee-ocp,none,gt,3.0,,1,,12.532,30.6754,16.1292,0,0,0.002552,1.3819,0.004868,0.31939,4.0549,1.0124,297.7538,25.8718,0.0
148,28,impedance,ee-ocp,none,gt,3.0,,1,,12.478,27.7826,14.3003,0,0,0.002641,1.3739,0.004939,0.31919,3.8975,1.0154,282.7734,26.3671,0.0
149,29,impedance,ee-ocp,none,gt,3.0,,1,,12.644,32.4781,17.1443,0,0,0.002275,1.439,0.004861,0.319233,3.9482,1.1056,269.2767,26.2821,0.0
150,0,impedance,ee-ocp,none,gt,6.0,,0,force_abort,6.912,40.0871,19.5233,1,0,0.00646,0.8188,0.004917,0.320323,4.1249,1.0129,294.2725,26.5174,1.6294
